timestamp,distance
2023-06-01T18:29:00Z,81.80
2023-06-01T18:30:00Z,81.10
2023-06-01T18:31:00Z,82.50
2023-06-01T18:32:00Z,78.90
2023-06-01T18:33:00Z,82.60
2023-06-01T18:34:00Z,86.30
2023-06-01T18:35:00Z,81.80
2023-06-01T18:36:00Z,81.10
2023-06-01T18:37:00Z,78.10
2023-06-01T18:38:00Z,75.90
2023-06-01T18:39:00Z,22.80
2023-06-01T18:40:00Z,51.60
2023-06-01T18:41:00Z,65.60
2023-06-01T18:42:00Z,39.10
2023-06-01T18:43:00Z,50.80
2023-06-01T18:44:00Z,79.60
2023-06-01T18:45:00Z,40.50
2023-06-01T18:46:00Z,45.70
2023-06-01T18:47:00Z,5.80
2023-06-01T18:48:00Z,2.90
2023-06-01T19:00:00Z,5.10
2023-06-01T19:02:00Z,5.10
2023-06-01T19:06:00Z,18.40
2023-06-01T19:07:00Z,7.30
2023-06-01T19:16:00Z,11.00
2023-06-01T19:18:00Z,3.60
2023-06-01T19:23:00Z,14.00
2023-06-01T19:24:00Z,9.50
2023-06-01T19:27:00Z,5.80
2023-06-01T19:49:00Z,7.30
2023-06-01T19:54:00Z,8.10
2023-06-01T19:55:00Z,8.10
2023-06-01T19:59:00Z,52.30
2023-06-01T20:00:00Z,25.80
2023-06-01T20:01:00Z,7.30
2023-06-01T20:02:00Z,47.10
2023-06-01T20:03:00Z,30.90
2023-06-01T20:04:00Z,4.40
2023-06-01T20:07:00Z,2.90
2023-06-01T20:13:00Z,10.30
2023-06-01T20:14:00Z,31.00
2023-06-01T20:15:00Z,69.30
2023-06-01T20:16:00Z,74.40
2023-06-01T20:17:00Z,75.90
2023-06-01T20:18:00Z,82.50
2023-06-01T20:19:00Z,81.10
2023-06-01T20:20:00Z,75.90
2023-06-01T20:21:00Z,81.80
2023-06-01T20:22:00Z,77.40
2023-06-01T20:23:00Z,71.50
2023-06-01T20:24:00Z,75.20
2023-06-01T20:25:00Z,77.40
2023-06-01T20:26:00Z,76.60
2023-06-01T20:27:00Z,66.30
2023-06-01T20:28:00Z,60.40
2023-06-01T20:29:00Z,73.70
2023-06-01T20:30:00Z,74.50
2023-06-01T20:31:00Z,70.00
2023-06-01T20:32:00Z,39.80
2023-06-01T20:33:00Z,31.70
2023-06-01T20:34:00Z,11.80
2023-06-01T20:37:00Z,6.60
2023-06-01T20:51:00Z,5.10
2023-06-01T20:53:00Z,2.90
2023-06-01T20:55:00Z,7.30
2023-06-01T21:32:00Z,22.80
2023-06-01T21:33:00Z,42.70
2023-06-01T21:35:00Z,19.10
2023-06-01T21:38:00Z,6.60
2023-06-01T21:40:00Z,42.00
2023-06-01T21:41:00Z,47.20
2023-06-01T21:50:00Z,56.00
2023-06-01T21:51:00Z,69.20
2023-06-01T21:52:00Z,18.40
2023-06-01T21:59:00Z,11.00
2023-06-01T22:00:00Z,16.90
2023-06-01T22:09:00Z,13.20
2023-06-01T22:14:00Z,19.80
2023-06-01T22:15:00Z,8.80
2023-06-01T22:16:00Z,29.40
2023-06-01T22:46:00Z,19.90
2023-06-01T22:47:00Z,29.40
2023-06-02T00:21:00Z,13.20
2023-06-02T00:27:00Z,14.00
2023-06-02T00:28:00Z,4.40
2023-06-02T01:40:00Z,9.50
2023-06-02T01:50:00Z,16.90
2023-06-02T02:01:00Z,4.40
2023-06-02T02:04:00Z,2.90
2023-06-02T02:06:00Z,6.60
2023-06-02T02:07:00Z,4.40
2023-06-02T02:10:00Z,9.50
2023-06-02T02:15:00Z,28.70
2023-06-02T02:16:00Z,25.00
2023-06-02T02:17:00Z,14.00
2023-06-02T02:18:00Z,16.20
2023-06-02T02:19:00Z,19.10
2023-06-02T02:20:00Z,44.90
2023-06-02T02:21:00Z,2.90
2023-06-02T02:22:00Z,16.20
2023-06-02T02:23:00Z,6.60
2023-06-02T02:24:00Z,43.50
2023-06-02T02:25:00Z,5.80
2023-06-02T02:27:00Z,14.00
2023-06-02T02:38:00Z,29.40
2023-06-02T02:39:00Z,9.50
2023-06-02T02:40:00Z,12.50
2023-06-02T02:41:00Z,22.80
2023-06-02T02:42:00Z,2.90
2023-06-02T02:43:00Z,11.00
2023-06-02T02:45:00Z,2.90
2023-06-02T02:59:00Z,15.40
2023-06-02T03:06:00Z,19.10
2023-06-02T03:14:00Z,19.90
2023-06-02T03:15:00Z,6.60
2023-06-02T03:28:00Z,5.10
2023-06-02T03:49:00Z,11.00
2023-06-02T03:50:00Z,28.00
2023-06-02T04:23:00Z,3.60
2023-06-02T04:36:00Z,4.40
2023-06-02T05:15:00Z,42.00
2023-06-02T05:16:00Z,28.00
2023-06-02T05:17:00Z,23.50
2023-06-02T05:18:00Z,7.30
2023-06-02T05:19:00Z,5.90
2023-06-02T08:25:00Z,3.60
2023-06-02T13:39:00Z,6.60
2023-06-02T13:44:00Z,11.00
2023-06-02T13:45:00Z,13.20
2023-06-02T13:47:00Z,10.30
2023-06-02T13:48:00Z,2.90
2023-06-02T13:49:00Z,14.70
2023-06-02T13:50:00Z,6.60
2023-06-02T14:10:00Z,11.00
2023-06-02T14:13:00Z,5.10
2023-06-02T14:45:00Z,26.50
2023-06-02T14:46:00Z,24.30
2023-06-02T14:47:00Z,33.10
2023-06-02T14:48:00Z,6.60
2023-06-02T14:50:00Z,8.80
2023-06-02T14:51:00Z,2.20
2023-06-02T14:57:00Z,5.90
2023-06-02T14:58:00Z,22.80
2023-06-02T14:59:00Z,27.20
2023-06-02T15:00:00Z,37.50
2023-06-02T15:01:00Z,35.30
2023-06-02T15:02:00Z,22.10
2023-06-02T15:06:00Z,23.60
2023-06-02T15:07:00Z,25.00
2023-06-02T15:12:00Z,18.40
2023-06-02T15:13:00Z,10.30
2023-06-02T15:14:00Z,19.80
2023-06-02T15:15:00Z,22.80
2023-06-02T15:16:00Z,5.80
2023-06-02T15:21:00Z,5.80
2023-06-02T15:22:00Z,23.60
2023-06-02T15:23:00Z,85.50
2023-06-02T15:24:00Z,66.30
2023-06-02T15:25:00Z,64.80
2023-06-02T15:26:00Z,14.00
2023-06-02T15:27:00Z,19.90
2023-06-02T15:28:00Z,12.50
2023-06-02T15:30:00Z,11.00
2023-06-02T15:35:00Z,3.60
2023-06-02T15:37:00Z,4.40
2023-06-02T15:39:00Z,27.20
2023-06-02T15:58:00Z,3.60
2023-06-02T15:59:00Z,12.50
2023-06-02T16:10:00Z,5.10
2023-06-02T16:15:00Z,14.00
2023-06-02T16:20:00Z,24.30
2023-06-02T16:25:00Z,8.80
2023-06-02T16:26:00Z,11.80
2023-06-02T16:27:00Z,13.20
2023-06-02T16:28:00Z,42.00
2023-06-02T16:29:00Z,36.80
2023-06-02T16:30:00Z,10.30
2023-06-02T16:44:00Z,5.80
2023-06-02T16:48:00Z,2.90
2023-06-02T16:50:00Z,9.50
2023-06-02T16:51:00Z,5.90
2023-06-02T16:52:00Z,5.10
2023-06-02T16:55:00Z,5.10
2023-06-02T16:58:00Z,7.30
2023-06-02T17:01:00Z,19.10
2023-06-02T17:02:00Z,6.60
2023-06-02T17:03:00Z,10.30
2023-06-02T17:04:00Z,15.40
2023-06-02T17:05:00Z,25.00
2023-06-02T17:06:00Z,12.50
2023-06-02T17:10:00Z,10.30
2023-06-02T17:11:00Z,5.80
2023-06-02T17:12:00Z,27.20
2023-06-02T17:13:00Z,5.10
2023-06-02T17:14:00Z,10.30
2023-06-02T17:23:00Z,8.80
2023-06-02T17:24:00Z,8.80
2023-06-02T17:25:00Z,9.50
2023-06-02T17:26:00Z,63.40
2023-06-02T17:27:00Z,64.10
2023-06-02T17:28:00Z,7.30
2023-06-02T17:29:00Z,4.40
2023-06-02T17:30:00Z,39.00
2023-06-02T17:31:00Z,57.50
2023-06-02T17:32:00Z,22.10
2023-06-02T17:33:00Z,14.70
2023-06-02T17:34:00Z,3.60
2023-06-02T17:35:00Z,22.10
2023-06-02T17:36:00Z,5.80
2023-06-02T17:37:00Z,34.60
2023-06-02T17:38:00Z,51.60
2023-06-02T17:39:00Z,65.60
2023-06-02T17:40:00Z,28.00
2023-06-02T17:41:00Z,50.10
2023-06-02T17:42:00Z,25.00
2023-06-02T17:43:00Z,14.00
2023-06-02T17:44:00Z,42.00
2023-06-02T17:45:00Z,70.70
2023-06-02T17:46:00Z,65.60
2023-06-02T17:47:00Z,71.50
2023-06-02T17:48:00Z,77.40
2023-06-02T17:49:00Z,75.20
2023-06-02T17:50:00Z,86.20
2023-06-02T17:51:00Z,80.30
2023-06-02T17:52:00Z,81.10
2023-06-02T17:53:00Z,78.10
2023-06-02T17:54:00Z,81.80
2023-06-02T17:55:00Z,83.30
2023-06-02T17:56:00Z,81.80
2023-06-02T17:57:00Z,82.60
2023-06-02T17:58:00Z,75.90
2023-06-02T17:59:00Z,76.60
2023-06-02T18:00:00Z,85.50
2023-06-02T18:01:00Z,84.00
2023-06-02T18:02:00Z,79.60
2023-06-02T18:03:00Z,81.80
2023-06-02T18:04:00Z,79.60
2023-06-02T18:05:00Z,84.80
2023-06-02T18:06:00Z,73.70
2023-06-02T18:07:00Z,75.90
2023-06-02T18:08:00Z,78.90
2023-06-02T18:09:00Z,78.10
2023-06-02T18:10:00Z,75.90
2023-06-02T18:11:00Z,79.60
2023-06-02T18:12:00Z,75.90
2023-06-02T18:13:00Z,74.40
2023-06-02T18:14:00Z,74.40
2023-06-02T18:15:00Z,81.80
2023-06-02T18:16:00Z,78.90
2023-06-02T18:17:00Z,78.80
2023-06-02T18:18:00Z,77.40
2023-06-02T18:19:00Z,78.90
2023-06-02T18:20:00Z,81.80
2023-06-02T18:21:00Z,66.30
2023-06-02T18:22:00Z,63.40
2023-06-02T18:23:00Z,84.00
2023-06-02T18:24:00Z,52.30
2023-06-02T18:25:00Z,75.90
2023-06-02T18:26:00Z,80.40
2023-06-02T18:27:00Z,78.10
2023-06-02T18:28:00Z,67.80
2023-06-02T18:29:00Z,78.10
2023-06-02T18:30:00Z,76.70
2023-06-02T18:31:00Z,70.70
2023-06-02T18:32:00Z,36.80
2023-06-02T18:33:00Z,56.00
2023-06-02T18:34:00Z,42.70
2023-06-02T18:35:00Z,27.20
2023-06-02T18:36:00Z,70.70
2023-06-02T18:37:00Z,64.90
2023-06-02T18:38:00Z,36.80
2023-06-02T18:39:00Z,16.90
2023-06-02T18:40:00Z,5.10
2023-06-02T18:43:00Z,6.60
2023-06-02T19:02:00Z,4.40
2023-06-02T19:05:00Z,24.30
2023-06-02T19:06:00Z,14.00
2023-06-02T19:07:00Z,8.80
2023-06-02T19:08:00Z,57.40
2023-06-02T19:09:00Z,19.80
2023-06-02T19:10:00Z,5.10
2023-06-02T19:11:00Z,18.40
2023-06-02T19:12:00Z,9.50
2023-06-02T19:16:00Z,6.60
2023-06-02T19:17:00Z,58.90
2023-06-02T19:19:00Z,5.80
2023-06-02T19:22:00Z,8.10
2023-06-02T19:24:00Z,5.10
2023-06-02T19:26:00Z,11.70
2023-06-02T19:27:00Z,2.90
2023-06-02T19:28:00Z,10.30
2023-06-02T19:33:00Z,33.90
2023-06-02T19:34:00Z,47.10
2023-06-02T19:35:00Z,70.00
2023-06-02T19:36:00Z,75.20
2023-06-02T19:37:00Z,30.20
2023-06-02T19:39:00Z,9.50
2023-06-02T19:41:00Z,6.60
2023-06-02T19:44:00Z,6.60
2023-06-02T19:49:00Z,3.60
2023-06-02T19:50:00Z,2.90
2023-06-02T19:54:00Z,6.60
2023-06-02T19:58:00Z,8.80
2023-06-02T20:03:00Z,9.50
2023-06-02T20:04:00Z,16.20
2023-06-02T20:05:00Z,6.60
2023-06-02T20:06:00Z,42.70
2023-06-02T20:07:00Z,19.90
2023-06-02T20:08:00Z,23.50
2023-06-02T20:09:00Z,65.60
2023-06-02T20:10:00Z,74.40
2023-06-02T20:11:00Z,54.50
2023-06-02T20:12:00Z,22.10
2023-06-02T20:13:00Z,11.70
2023-06-02T20:14:00Z,21.30
2023-06-02T20:16:00Z,22.80
2023-06-02T20:17:00Z,68.60
2023-06-02T20:18:00Z,6.60
2023-06-02T20:23:00Z,18.40
2023-06-02T20:25:00Z,25.80
2023-06-02T20:26:00Z,5.10
2023-06-02T20:27:00Z,24.30
2023-06-02T20:28:00Z,25.00
2023-06-02T20:29:00Z,20.60
2023-06-02T20:30:00Z,51.60
2023-06-02T20:31:00Z,8.10
2023-06-02T20:32:00Z,46.40
2023-06-02T20:33:00Z,42.00
2023-06-02T20:34:00Z,67.80
2023-06-02T20:35:00Z,37.60
2023-06-02T20:36:00Z,50.10
2023-06-02T20:37:00Z,17.70
2023-06-02T20:38:00Z,48.60
2023-06-02T21:35:00Z,19.90
2023-06-02T21:36:00Z,76.70
2023-06-02T21:37:00Z,63.40
2023-06-02T21:38:00Z,54.50
2023-06-02T21:47:00Z,11.00
2023-06-02T21:48:00Z,53.00
2023-06-02T21:49:00Z,16.90
2023-06-02T21:50:00Z,23.50
2023-06-02T21:51:00Z,11.70
2023-06-02T21:55:00Z,5.90
2023-06-02T21:56:00Z,26.50
2023-06-02T21:57:00Z,19.10
2023-06-02T21:58:00Z,5.10
2023-06-02T21:59:00Z,23.50
2023-06-02T22:40:00Z,8.10
2023-06-02T22:50:00Z,7.30
2023-06-03T00:01:00Z,3.60
2023-06-03T01:24:00Z,7.30
2023-06-03T02:01:00Z,4.40
2023-06-03T02:45:00Z,9.50
2023-06-03T02:46:00Z,24.30
2023-06-03T02:47:00Z,10.30
2023-06-03T02:48:00Z,11.70
2023-06-03T02:49:00Z,11.80
2023-06-03T02:50:00Z,10.30
2023-06-03T02:51:00Z,19.10
2023-06-03T02:53:00Z,11.00
2023-06-03T02:54:00Z,7.30
2023-06-03T02:55:00Z,11.70
2023-06-03T02:56:00Z,25.80
2023-06-03T02:57:00Z,34.60
2023-06-03T02:58:00Z,39.00
2023-06-03T02:59:00Z,12.50
2023-06-03T03:00:00Z,9.50
2023-06-03T03:01:00Z,30.20
2023-06-03T03:02:00Z,27.20
2023-06-03T03:04:00Z,15.40
2023-06-03T03:05:00Z,14.70
2023-06-03T03:06:00Z,11.80
2023-06-03T03:07:00Z,9.50
2023-06-03T03:08:00Z,9.50
2023-06-03T03:12:00Z,9.50
2023-06-03T03:13:00Z,22.80
2023-06-03T03:14:00Z,22.80
2023-06-03T03:15:00Z,4.40
2023-06-03T03:21:00Z,5.10
2023-06-03T03:22:00Z,13.20
2023-06-03T03:23:00Z,5.90
2023-06-03T03:31:00Z,4.40
2023-06-03T03:41:00Z,17.70
2023-06-03T03:42:00Z,0.70
2023-06-03T04:07:00Z,5.10
2023-06-03T04:09:00Z,7.30
2023-06-03T04:10:00Z,9.50
2023-06-03T04:12:00Z,5.80
2023-06-03T04:14:00Z,19.90
2023-06-03T04:15:00Z,9.50
2023-06-03T04:16:00Z,11.70
2023-06-03T04:37:00Z,14.70
2023-06-03T04:38:00Z,9.50
2023-06-03T04:49:00Z,10.30
2023-06-03T04:57:00Z,5.90
2023-06-03T05:20:00Z,5.90
2023-06-03T05:23:00Z,18.40
2023-06-03T05:24:00Z,26.50
2023-06-03T05:25:00Z,20.60
2023-06-03T05:26:00Z,0.70
2023-06-03T14:25:00Z,9.50
2023-06-03T14:35:00Z,22.10
2023-06-03T14:39:00Z,20.60
2023-06-03T14:40:00Z,16.20
2023-06-03T14:41:00Z,1.40
2023-06-03T14:55:00Z,8.80
2023-06-03T14:56:00Z,30.90
2023-06-03T15:13:00Z,5.10
2023-06-03T15:38:00Z,5.10
2023-06-03T15:46:00Z,6.60
2023-06-03T16:05:00Z,5.80
2023-06-03T16:06:00Z,21.30
2023-06-03T16:07:00Z,18.40
2023-06-03T16:08:00Z,27.20
2023-06-03T16:09:00Z,41.20
2023-06-03T16:10:00Z,12.50
2023-06-03T16:11:00Z,7.30
2023-06-03T16:12:00Z,16.90
2023-06-03T16:16:00Z,6.60
2023-06-03T16:17:00Z,18.40
2023-06-03T16:18:00Z,39.70
2023-06-03T16:19:00Z,14.00
2023-06-03T16:20:00Z,31.60
2023-06-03T16:34:00Z,19.90
2023-06-03T16:35:00Z,14.00
2023-06-03T16:39:00Z,28.70
2023-06-03T16:40:00Z,14.70
2023-06-03T16:41:00Z,17.70
2023-06-03T16:42:00Z,11.80
2023-06-03T16:45:00Z,13.20
2023-06-03T16:46:00Z,40.50
2023-06-03T16:56:00Z,7.30
2023-06-03T17:33:00Z,6.60
2023-06-03T17:34:00Z,7.30
2023-06-03T17:39:00Z,4.40
2023-06-03T18:55:00Z,23.50
2023-06-03T18:56:00Z,16.20
2023-06-03T18:57:00Z,16.90
2023-06-03T19:02:00Z,4.40
2023-06-03T19:17:00Z,13.90
2023-06-03T19:27:00Z,6.60
2023-06-03T19:36:00Z,16.20
2023-06-03T19:39:00Z,18.40
2023-06-03T20:13:00Z,4.40
2023-06-03T20:43:00Z,11.70
2023-06-03T20:44:00Z,28.70
2023-06-03T20:45:00Z,43.50
2023-06-03T20:46:00Z,42.70
2023-06-03T20:47:00Z,6.60
2023-06-03T20:48:00Z,20.60
2023-06-03T20:49:00Z,31.70
2023-06-03T20:50:00Z,18.40
2023-06-03T21:02:00Z,16.90
2023-06-03T21:03:00Z,16.20
2023-06-03T21:46:00Z,9.50
2023-06-03T21:47:00Z,8.10
2023-06-03T21:48:00Z,19.10
2023-06-03T21:49:00Z,20.60
2023-06-03T21:50:00Z,30.20
2023-06-03T21:51:00Z,6.60
2023-06-03T23:49:00Z,4.40
2023-06-03T23:58:00Z,30.20
2023-06-03T23:59:00Z,11.00
2023-06-04T00:03:00Z,19.90
2023-06-04T00:04:00Z,33.90
2023-06-04T00:05:00Z,16.90
2023-06-04T00:06:00Z,18.40
2023-06-04T00:07:00Z,8.80
2023-06-04T00:08:00Z,47.10
2023-06-04T00:09:00Z,61.20
2023-06-04T00:10:00Z,54.50
2023-06-04T00:11:00Z,3.60
2023-06-04T00:15:00Z,9.50
2023-06-04T00:16:00Z,1.40
2023-06-04T00:19:00Z,4.40
2023-06-04T00:26:00Z,5.10
2023-06-04T00:27:00Z,53.00
2023-06-04T00:28:00Z,39.70
2023-06-04T00:29:00Z,37.50
2023-06-04T00:31:00Z,22.10
2023-06-04T00:33:00Z,10.30
2023-06-04T00:36:00Z,2.90
2023-06-04T00:37:00Z,4.40
2023-06-04T00:44:00Z,5.90
2023-06-04T00:48:00Z,19.10
2023-06-04T00:49:00Z,15.40
2023-06-04T00:50:00Z,9.50
2023-06-04T00:51:00Z,36.80
2023-06-04T00:53:00Z,5.10
2023-06-04T00:54:00Z,7.30
2023-06-04T01:01:00Z,17.70
2023-06-04T01:02:00Z,28.00
2023-06-04T01:04:00Z,59.70
2023-06-04T01:05:00Z,11.80
2023-06-04T01:06:00Z,5.80
2023-06-04T01:12:00Z,12.50
2023-06-04T01:13:00Z,12.50
2023-06-04T01:17:00Z,18.40
2023-06-04T01:18:00Z,8.80
2023-06-04T01:19:00Z,3.60
2023-06-04T01:20:00Z,5.80
2023-06-04T01:21:00Z,20.60
2023-06-04T01:27:00Z,11.70
2023-06-04T01:28:00Z,28.70
2023-06-04T01:29:00Z,2.90
2023-06-04T01:30:00Z,5.90
2023-06-04T01:31:00Z,12.50
2023-06-04T01:32:00Z,20.60
2023-06-04T01:33:00Z,9.50
2023-06-04T01:34:00Z,8.80
2023-06-04T01:35:00Z,25.70
2023-06-04T01:36:00Z,25.00
2023-06-04T01:37:00Z,47.90
2023-06-04T01:38:00Z,14.00
2023-06-04T01:39:00Z,5.90
2023-06-04T01:40:00Z,23.50
2023-06-04T01:41:00Z,5.10
2023-06-04T01:42:00Z,4.40
2023-06-04T01:43:00Z,25.80
2023-06-04T01:44:00Z,14.00
2023-06-04T01:46:00Z,28.00
2023-06-04T02:43:00Z,26.50
2023-06-04T02:44:00Z,8.80
2023-06-04T02:45:00Z,12.50
2023-06-04T02:46:00Z,32.40
2023-06-04T02:47:00Z,23.50
2023-06-04T02:48:00Z,20.60
2023-06-04T02:49:00Z,19.10
2023-06-04T02:50:00Z,67.00
2023-06-04T02:51:00Z,70.00
2023-06-04T02:52:00Z,80.30
