timestamp,steps,distance millimeters,altitude gain millimeters
2025-07-05T02:44:59Z,2,1310,0
2025-07-05T02:45:00Z,2,1300,0
2025-07-05T02:45:01Z,1,1300,0
2025-07-05T02:45:02Z,2,1300,0
2025-07-05T02:45:03Z,2,1300,0
2025-07-05T02:45:04Z,1,1300,0
2025-07-05T02:45:05Z,1,1220,0
2025-07-05T02:45:06Z,2,1230,0
2025-07-05T02:45:07Z,2,1230,0
2025-07-05T02:45:08Z,2,1220,0
2025-07-05T02:45:09Z,1,1230,0
2025-07-05T02:45:10Z,2,1220,0
2025-07-05T02:45:11Z,1,1230,0
2025-07-05T02:45:12Z,1,1220,0
2025-07-05T02:45:13Z,2,1220,0
2025-07-05T02:45:14Z,1,1210,0
2025-07-05T02:45:15Z,2,1200,0
2025-07-05T02:45:16Z,2,1210,0
2025-07-05T02:45:17Z,1,1200,0
2025-07-05T02:45:18Z,2,1200,0
2025-07-05T02:45:19Z,1,1210,0
2025-07-05T02:45:20Z,2,1200,0
2025-07-05T02:45:21Z,1,1190,0
2025-07-05T02:45:22Z,2,1200,0
2025-07-05T02:45:23Z,2,1190,0
2025-07-05T02:45:24Z,2,1210,0
2025-07-05T02:45:25Z,1,1200,0
2025-07-05T02:45:26Z,1,1200,0
2025-07-05T02:45:27Z,1,1200,0
2025-07-05T02:45:28Z,3,1190,0
2025-07-05T02:45:29Z,2,1200,0
2025-07-05T02:45:30Z,1,1200,0
2025-07-05T02:45:31Z,2,1190,0
2025-07-05T02:45:32Z,2,1270,0
2025-07-05T02:45:33Z,2,1260,0
2025-07-05T02:45:34Z,1,1270,0
2025-07-05T02:45:35Z,2,1260,0
2025-07-05T02:45:36Z,2,1270,0
2025-07-05T02:45:37Z,1,1260,0
2025-07-05T02:45:38Z,2,1270,0
2025-07-05T02:45:39Z,1,1260,0
2025-07-05T02:45:40Z,2,1260,0
2025-07-05T02:45:41Z,2,1250,0
2025-07-05T02:45:42Z,1,1260,0
2025-07-05T02:45:43Z,2,1250,0
2025-07-05T02:45:44Z,2,1260,0
2025-07-05T02:45:45Z,2,1260,0
2025-07-05T02:45:46Z,1,1250,0
2025-07-05T02:45:47Z,2,1250,0
2025-07-05T02:45:48Z,2,1250,0
2025-07-05T02:45:49Z,1,1250,0
2025-07-05T02:45:50Z,2,1250,0
2025-07-05T02:45:51Z,1,1250,0
2025-07-05T02:45:52Z,0,1160,0
2025-07-05T02:45:53Z,1,1040,0
2025-07-05T02:45:54Z,0,940,0
2025-07-05T02:45:55Z,1,0,0
2025-07-05T02:45:56Z,2,0,0
2025-07-05T02:45:57Z,0,0,0
2025-07-05T02:45:58Z,1,330,0
2025-07-05T02:45:59Z,1,420,0
2025-07-05T02:46:00Z,1,520,0
2025-07-05T02:46:01Z,3,710,0
2025-07-05T02:46:02Z,1,890,0
2025-07-05T02:46:03Z,2,930,0
2025-07-05T02:46:04Z,1,990,0
2025-07-05T02:46:05Z,2,1050,0
2025-07-05T02:46:06Z,1,1030,0
2025-07-05T02:46:07Z,1,1030,0
2025-07-05T02:46:08Z,2,1070,0
2025-07-05T02:46:09Z,2,1070,0
2025-07-05T02:46:10Z,1,1070,0
2025-07-05T02:46:11Z,2,1080,0
2025-07-05T02:46:12Z,1,1080,0
2025-07-05T02:46:13Z,2,1070,0
2025-07-05T02:46:14Z,2,1090,0
2025-07-05T02:46:15Z,1,1090,0
2025-07-05T02:46:16Z,2,1080,0
2025-07-05T02:46:17Z,1,1090,0
2025-07-05T02:46:18Z,2,1090,0
2025-07-05T02:46:19Z,2,1090,0
