timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds
2023-04-15T04:55:00Z,49.338,0.0
2023-04-15T05:00:00Z,37.723,0.0
2023-04-15T05:05:00Z,33.84,0.0
2023-04-15T05:10:00Z,34.511,0.0
2023-04-15T05:15:00Z,42.18,0.0
2023-04-15T05:20:00Z,43.9,0.0
2023-04-15T05:25:00Z,46.108,0.0
2023-04-15T05:30:00Z,47.68,0.0
2023-04-15T05:35:00Z,42.497,0.0
2023-04-15T05:40:00Z,45.864,0.0
2023-04-15T05:45:00Z,69.77,0.0
2023-04-15T05:50:00Z,78.13,0.0
2023-04-15T05:55:00Z,62.443,0.0
2023-04-15T06:00:00Z,56.212,0.0
2023-04-15T06:05:00Z,54.318,0.0
2023-04-15T06:10:00Z,56.848,0.0
2023-04-15T06:15:00Z,50.038,0.0
2023-04-15T06:20:00Z,57.022,0.0
2023-04-15T06:25:00Z,43.321,0.0
2023-04-15T06:30:00Z,28.595,0.0
2023-04-15T06:35:00Z,23.619,0.0
2023-04-15T06:40:00Z,24.9,0.0
2023-04-15T06:45:00Z,25.448,0.0
2023-04-15T06:50:00Z,20.985,0.0
2023-04-15T06:55:00Z,56.422,0.0
2023-04-15T07:00:00Z,39.953,0.0
2023-04-15T07:05:00Z,37.67,0.0
2023-04-15T07:10:00Z,67.943,0.0
2023-04-15T07:15:00Z,49.483,0.0
2023-04-15T07:20:00Z,49.628,0.0
2023-04-15T07:25:00Z,57.51,0.0
2023-04-15T07:30:00Z,62.151,0.0
2023-04-15T07:35:00Z,78.18,0.0
2023-04-15T07:40:00Z,65.442,0.0
2023-04-16T00:20:00Z,69.96,0.0
2023-04-16T00:25:00Z,64.224,0.0
2023-04-16T00:30:00Z,65.574,0.0
2023-04-16T00:35:00Z,52.899,0.0
2023-04-16T00:40:00Z,48.79,0.0
2023-04-16T00:45:00Z,47.425,0.0
2023-04-16T00:50:00Z,50.503,0.0
2023-04-16T00:55:00Z,49.321,0.0
2023-04-16T01:00:00Z,54.817,0.0
2023-04-16T01:05:00Z,52.911,0.0
2023-04-16T01:10:00Z,56.124,0.0
2023-04-16T01:15:00Z,54.588,0.0
2023-04-16T01:20:00Z,68.044,0.0
2023-04-16T01:25:00Z,42.944,0.0
2023-04-16T01:30:00Z,35.475,0.0
2023-04-16T01:35:00Z,32.302,0.0
2023-04-16T01:40:00Z,47.416,0.0
2023-04-16T01:45:00Z,43.173,0.0
2023-04-16T01:50:00Z,38.143,0.0
2023-04-16T01:55:00Z,42.237,0.0
2023-04-16T02:00:00Z,51.388,0.0
2023-04-16T02:05:00Z,41.762,0.0
2023-04-16T02:10:00Z,52.04,0.0
2023-04-16T02:15:00Z,52.04,0.0
2023-04-16T02:20:00Z,58.488,0.0
2023-04-16T02:25:00Z,60.582,0.0
2023-04-16T02:30:00Z,50.663,0.0
2023-04-16T02:35:00Z,58.875,0.0
2023-04-16T02:40:00Z,49.481,0.0
2023-04-16T02:45:00Z,50.143,0.0
