timestamp,beats per minute
2023-06-17T18:50:26Z,81.0
2023-06-17T18:50:31Z,80.0
2023-06-17T18:50:41Z,79.0
2023-06-17T18:50:56Z,79.0
2023-06-17T18:51:11Z,79.0
2023-06-17T18:51:26Z,79.0
2023-06-17T18:51:41Z,79.0
2023-06-17T18:51:46Z,80.0
2023-06-17T18:51:51Z,82.0
2023-06-17T18:51:56Z,83.0
2023-06-17T18:52:01Z,81.0
2023-06-17T18:52:11Z,82.0
2023-06-17T18:52:21Z,92.0
2023-06-17T18:52:26Z,94.0
2023-06-17T18:52:31Z,91.0
2023-06-17T18:52:36Z,89.0
2023-06-17T18:52:41Z,85.0
2023-06-17T18:52:46Z,82.0
2023-06-17T18:52:51Z,84.0
2023-06-17T18:53:01Z,85.0
2023-06-17T18:53:11Z,84.0
2023-06-17T18:53:16Z,75.0
2023-06-17T18:53:21Z,77.0
2023-06-17T18:53:26Z,76.0
2023-06-17T18:53:31Z,74.0
2023-06-17T18:53:36Z,73.0
2023-06-17T18:53:46Z,71.0
2023-06-17T18:53:51Z,72.0
2023-06-17T18:53:56Z,75.0
2023-06-17T18:54:01Z,78.0
2023-06-17T18:54:06Z,79.0
2023-06-17T18:54:16Z,80.0
2023-06-17T18:54:31Z,78.0
2023-06-17T18:54:36Z,75.0
2023-06-17T18:54:41Z,77.0
2023-06-17T18:54:51Z,80.0
2023-06-17T18:54:56Z,82.0
2023-06-17T18:55:01Z,83.0
2023-06-17T18:55:11Z,84.0
2023-06-17T18:55:16Z,88.0
2023-06-17T18:55:21Z,87.0
2023-06-17T18:55:26Z,85.0
2023-06-17T18:55:31Z,82.0
2023-06-17T18:55:36Z,82.0
2023-06-17T18:55:46Z,78.0
2023-06-17T18:55:51Z,79.0
2023-06-17T18:55:56Z,81.0
2023-06-17T18:56:06Z,81.0
2023-06-17T18:56:21Z,82.0
2023-06-17T18:56:31Z,83.0
2023-06-17T18:56:41Z,84.0
2023-06-17T18:56:56Z,84.0
2023-06-17T18:57:01Z,85.0
2023-06-17T18:57:16Z,85.0
2023-06-17T18:57:26Z,84.0
2023-06-17T18:57:31Z,80.0
2023-06-17T18:57:36Z,77.0
2023-06-17T18:57:41Z,78.0
2023-06-17T18:57:51Z,79.0
2023-06-17T18:57:56Z,78.0
2023-06-17T18:58:07Z,77.0
2023-06-17T18:58:12Z,79.0
2023-06-17T18:58:22Z,78.0
2023-06-17T18:58:32Z,79.0
