timestamp,oxygen saturation percentage
2025-07-04T10:23:04Z,96.0
2025-07-04T10:24:04Z,95.8
2025-07-04T10:25:04Z,95.5
2025-07-04T10:26:04Z,95.2
2025-07-04T10:27:04Z,95.1
2025-07-04T10:28:04Z,95.3
2025-07-04T10:29:04Z,95.6
2025-07-04T10:31:04Z,95.6
2025-07-04T10:32:04Z,95.8
2025-07-04T10:33:04Z,95.9
2025-07-04T10:34:04Z,96.0
2025-07-04T10:35:04Z,96.0
2025-07-04T10:36:04Z,96.0
2025-07-04T10:37:04Z,95.8
2025-07-04T10:38:04Z,95.7
2025-07-04T10:39:04Z,95.8
2025-07-04T10:40:04Z,96.1
2025-07-04T10:41:04Z,96.0
2025-07-04T10:42:04Z,95.6
2025-07-04T10:43:04Z,95.2
2025-07-04T10:44:04Z,94.7
2025-07-04T10:45:04Z,94.3
2025-07-04T10:46:04Z,93.9
2025-07-04T10:47:04Z,93.6
2025-07-04T10:48:04Z,93.9
2025-07-04T10:49:04Z,93.8
2025-07-04T10:50:04Z,93.5
2025-07-04T10:51:04Z,93.7
2025-07-04T10:52:04Z,93.9
2025-07-04T10:53:04Z,94.2
2025-07-04T10:54:04Z,94.0
2025-07-04T10:55:04Z,93.8
2025-07-04T10:56:04Z,93.9
2025-07-04T10:57:04Z,94.0
2025-07-04T10:58:04Z,94.3
2025-07-04T10:59:04Z,94.7
2025-07-04T11:00:04Z,94.8
2025-07-04T11:01:04Z,94.9
2025-07-04T11:02:04Z,94.7
2025-07-04T11:03:04Z,95.1
2025-07-04T11:04:04Z,95.0
2025-07-04T11:05:04Z,95.0
2025-07-04T11:06:04Z,95.2
2025-07-04T11:07:04Z,95.3
2025-07-04T11:08:04Z,95.0
2025-07-04T11:09:04Z,95.1
2025-07-04T11:12:04Z,94.9
2025-07-04T11:13:04Z,95.5
2025-07-04T11:14:04Z,95.5
2025-07-04T11:15:04Z,95.4
2025-07-04T11:16:04Z,96.3
2025-07-04T11:18:04Z,96.4
2025-07-04T11:19:04Z,95.6
2025-07-04T11:20:04Z,95.1
2025-07-04T11:21:04Z,94.6
2025-07-04T11:22:04Z,94.9
2025-07-04T11:23:04Z,94.6
2025-07-04T11:24:04Z,94.3
2025-07-04T11:25:04Z,94.4
2025-07-04T11:26:04Z,94.2
2025-07-04T11:27:04Z,94.5
2025-07-04T11:28:04Z,94.1
2025-07-04T11:29:04Z,94.0
2025-07-04T11:30:04Z,93.7
2025-07-04T11:31:04Z,94.3
2025-07-04T11:32:04Z,94.6
2025-07-04T11:33:04Z,95.1
2025-07-04T11:34:04Z,94.7
2025-07-04T11:35:04Z,94.9
2025-07-04T11:36:04Z,94.6
2025-07-04T11:37:04Z,95.3
2025-07-04T11:39:04Z,95.4
2025-07-04T11:40:04Z,95.7
2025-07-04T11:41:04Z,95.9
2025-07-04T11:42:04Z,95.9
2025-07-04T11:43:04Z,95.6
2025-07-04T11:46:04Z,95.0
2025-07-04T11:47:04Z,95.1
2025-07-04T11:48:04Z,95.5
2025-07-04T11:49:04Z,95.7
2025-07-04T11:50:04Z,96.1
2025-07-04T11:51:04Z,96.5
2025-07-04T11:52:04Z,96.8
2025-07-04T11:53:04Z,96.8
2025-07-04T11:54:04Z,96.8
2025-07-04T11:55:04Z,96.9
2025-07-04T11:56:04Z,97.0
2025-07-04T11:57:04Z,96.8
2025-07-04T11:58:04Z,96.9
2025-07-04T11:59:04Z,97.0
2025-07-04T12:00:04Z,96.9
2025-07-04T12:01:04Z,96.8
2025-07-04T12:02:04Z,96.8
2025-07-04T12:03:04Z,96.9
2025-07-04T12:04:04Z,96.9
2025-07-04T12:05:04Z,96.7
2025-07-04T12:06:04Z,96.7
2025-07-04T12:07:04Z,96.8
2025-07-04T12:08:04Z,96.8
2025-07-04T12:09:04Z,96.9
2025-07-04T12:10:04Z,96.8
2025-07-04T12:11:04Z,96.7
2025-07-04T12:12:04Z,96.7
2025-07-04T12:13:04Z,96.8
2025-07-04T12:15:04Z,96.7
2025-07-04T12:16:04Z,96.2
2025-07-04T12:17:04Z,96.3
2025-07-04T12:18:04Z,95.8
2025-07-04T12:19:04Z,95.7
2025-07-04T12:20:04Z,94.7
2025-07-04T12:21:04Z,94.1
2025-07-04T12:22:04Z,94.9
2025-07-04T12:23:04Z,94.3
2025-07-04T12:24:04Z,94.4
2025-07-04T12:25:04Z,94.1
2025-07-04T12:26:04Z,93.7
2025-07-04T12:27:04Z,93.5
2025-07-04T12:28:04Z,93.7
2025-07-04T12:29:04Z,93.1
2025-07-04T12:30:04Z,92.9
2025-07-04T12:31:04Z,92.7
2025-07-04T12:32:04Z,92.8
2025-07-04T12:33:04Z,93.2
2025-07-04T12:34:04Z,92.7
2025-07-04T12:35:04Z,92.8
2025-07-04T12:37:04Z,94.3
2025-07-04T12:39:04Z,94.9
2025-07-04T12:40:04Z,95.0
2025-07-04T12:41:04Z,95.0
2025-07-04T12:42:04Z,94.9
2025-07-04T12:43:04Z,95.0
2025-07-04T12:44:04Z,94.8
2025-07-04T12:45:04Z,94.4
2025-07-04T12:46:04Z,94.6
2025-07-04T12:47:04Z,94.4
2025-07-04T12:48:04Z,94.5
2025-07-04T12:49:04Z,94.5
2025-07-04T12:50:04Z,94.2
2025-07-04T12:51:04Z,94.3
2025-07-04T12:52:04Z,94.0
2025-07-04T12:53:04Z,93.8
2025-07-04T12:55:04Z,93.4
2025-07-04T12:56:04Z,93.5
2025-07-04T12:57:04Z,93.0
2025-07-04T12:58:04Z,93.7
2025-07-04T12:59:04Z,93.2
2025-07-04T13:00:04Z,93.9
2025-07-04T13:01:04Z,94.4
2025-07-04T13:02:04Z,94.5
2025-07-04T13:03:04Z,95.0
2025-07-04T13:04:04Z,93.9
2025-07-04T13:05:04Z,93.0
2025-07-04T13:06:04Z,93.4
2025-07-04T13:07:04Z,93.0
2025-07-04T13:08:04Z,93.5
2025-07-04T13:09:04Z,93.5
2025-07-04T13:10:04Z,94.5
2025-07-04T13:11:04Z,94.5
2025-07-04T13:12:04Z,94.7
2025-07-04T13:13:04Z,94.9
2025-07-04T13:15:04Z,95.3
2025-07-04T13:16:04Z,95.5
2025-07-04T13:17:04Z,95.9
2025-07-04T13:18:04Z,96.0
2025-07-04T13:19:04Z,96.0
2025-07-04T13:20:04Z,96.0
2025-07-04T13:21:04Z,96.0
2025-07-04T13:22:04Z,96.1
2025-07-04T13:23:04Z,96.2
2025-07-04T13:25:04Z,96.3
2025-07-04T13:26:04Z,96.8
2025-07-04T13:27:04Z,97.0
2025-07-04T13:28:04Z,97.1
2025-07-04T13:31:04Z,97.3
2025-07-04T13:32:04Z,96.9
2025-07-04T13:33:04Z,96.4
2025-07-04T13:34:04Z,97.2
2025-07-04T13:35:04Z,98.0
2025-07-04T13:36:04Z,97.9
2025-07-04T13:38:04Z,96.7
2025-07-04T13:39:04Z,96.3
2025-07-04T13:40:04Z,96.1
2025-07-04T13:41:04Z,96.0
2025-07-04T13:42:04Z,96.1
2025-07-04T13:43:04Z,96.1
2025-07-04T13:44:04Z,96.1
2025-07-04T13:45:04Z,95.8
2025-07-04T13:47:04Z,96.0
2025-07-04T13:48:04Z,96.7
2025-07-04T13:49:04Z,97.0
2025-07-04T13:50:04Z,97.0
2025-07-04T13:51:04Z,97.1
2025-07-04T13:52:04Z,97.6
2025-07-04T13:53:04Z,97.6
2025-07-04T13:54:04Z,97.9
2025-07-04T13:55:04Z,97.8
2025-07-04T13:56:04Z,97.9
2025-07-04T13:57:04Z,98.1
2025-07-04T13:58:04Z,98.1
2025-07-04T13:59:04Z,98.3
2025-07-04T14:00:04Z,97.9
2025-07-04T14:01:04Z,97.7
2025-07-04T14:02:04Z,98.0
2025-07-04T14:03:04Z,98.1
2025-07-04T14:05:04Z,98.1
2025-07-04T14:06:04Z,98.2
2025-07-04T14:07:04Z,98.2
2025-07-04T14:08:04Z,98.1
2025-07-04T14:09:04Z,98.3
2025-07-04T14:10:04Z,98.5
2025-07-04T14:11:04Z,98.1
2025-07-04T14:12:04Z,97.8
2025-07-04T14:13:04Z,97.9
2025-07-04T14:15:04Z,97.6
2025-07-04T14:16:04Z,97.0
2025-07-04T14:17:04Z,96.7
2025-07-04T14:18:04Z,96.5
2025-07-04T14:19:04Z,96.3
2025-07-04T14:21:04Z,95.4
2025-07-04T14:22:04Z,93.3
2025-07-04T14:23:04Z,93.6
2025-07-04T14:24:04Z,93.0
2025-07-04T14:25:04Z,92.7
2025-07-04T14:26:04Z,93.6
2025-07-04T14:28:04Z,94.0
2025-07-04T14:29:04Z,94.8
2025-07-04T14:30:04Z,95.3
2025-07-04T14:31:04Z,95.6
2025-07-04T14:32:04Z,95.8
2025-07-04T14:33:04Z,95.9
2025-07-04T14:34:04Z,96.0
2025-07-04T14:35:04Z,96.1
2025-07-04T14:36:04Z,96.3
2025-07-04T14:37:04Z,96.3
2025-07-04T14:38:04Z,95.9
2025-07-04T14:39:04Z,95.4
2025-07-04T14:41:04Z,93.7
2025-07-04T14:42:04Z,93.2
2025-07-04T14:59:04Z,92.7
2025-07-04T15:00:04Z,93.1
2025-07-04T15:01:04Z,93.6
2025-07-04T15:02:04Z,93.4
2025-07-04T15:03:04Z,93.6
2025-07-04T15:04:04Z,93.3
2025-07-04T15:05:04Z,94.0
2025-07-04T15:06:04Z,94.1
2025-07-04T15:07:04Z,94.7
2025-07-04T15:08:04Z,95.3
2025-07-04T15:09:04Z,95.6
2025-07-04T15:11:04Z,96.4
2025-07-04T15:12:04Z,96.8
2025-07-04T15:13:04Z,96.8
2025-07-04T15:14:04Z,96.8
2025-07-04T15:15:04Z,96.8
2025-07-04T15:16:04Z,97.2
2025-07-04T15:17:04Z,97.6
2025-07-04T15:18:04Z,97.5
2025-07-04T15:19:04Z,97.7
2025-07-04T15:20:04Z,97.8
2025-07-04T15:21:04Z,97.6
2025-07-04T15:22:04Z,97.7
2025-07-04T15:23:04Z,97.7
2025-07-04T15:24:04Z,97.6
2025-07-04T15:25:04Z,97.9
2025-07-04T15:28:04Z,97.4
2025-07-04T15:29:04Z,96.7
2025-07-04T15:30:04Z,96.9
2025-07-04T15:31:04Z,97.0
2025-07-04T15:33:04Z,96.6
