sleep_id,sleep_stage_id,sleep_stage_type,start_utc_offset,sleep_stage_start,end_utc_offset,sleep_stage_end,data_source,sleep_stage_created,sleep_stage_last_updated
1290633720992118224,2515557133733585280,LIGHT,-07:00,2025-07-04 09:40:00+0000,-07:00,2025-07-04 09:41:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2619379579687089376,DEEP,-07:00,2025-07-04 04:20:30+0000,-07:00,2025-07-04 04:21:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2622709866750941472,LIGHT,-07:00,2025-07-04 06:15:00+0000,-07:00,2025-07-04 06:28:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2657555704595210952,LIGHT,-07:00,2025-07-04 09:48:30+0000,-07:00,2025-07-04 09:51:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2695073851188874864,DEEP,-07:00,2025-07-04 03:57:30+0000,-07:00,2025-07-04 03:58:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2854234487525264896,REM,-07:00,2025-07-04 05:18:30+0000,-07:00,2025-07-04 05:20:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3025761774195198896,LIGHT,-07:00,2025-07-04 06:50:00+0000,-07:00,2025-07-04 06:51:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3404551570680722856,REM,-07:00,2025-07-04 06:29:00+0000,-07:00,2025-07-04 06:29:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3471557486313314504,AWAKE,-07:00,2025-07-04 06:32:30+0000,-07:00,2025-07-04 06:33:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3479487974857030408,LIGHT,-07:00,2025-07-04 05:22:30+0000,-07:00,2025-07-04 05:35:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3682496601753016112,LIGHT,-07:00,2025-07-04 06:40:30+0000,-07:00,2025-07-04 06:43:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3711616053629247784,REM,-07:00,2025-07-04 08:28:30+0000,-07:00,2025-07-04 08:30:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3778532334921476920,DEEP,-07:00,2025-07-04 04:34:30+0000,-07:00,2025-07-04 04:35:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3792838420794926792,AWAKE,-07:00,2025-07-04 06:36:30+0000,-07:00,2025-07-04 06:38:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3864110615840645072,LIGHT,-07:00,2025-07-04 09:06:30+0000,-07:00,2025-07-04 09:08:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3895279300296469968,LIGHT,-07:00,2025-07-04 09:04:30+0000,-07:00,2025-07-04 09:06:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3899667433286730296,DEEP,-07:00,2025-07-04 06:05:00+0000,-07:00,2025-07-04 06:06:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3920049226906215880,LIGHT,-07:00,2025-07-04 06:45:00+0000,-07:00,2025-07-04 06:45:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,3956611161182290000,REM,-07:00,2025-07-04 06:33:00+0000,-07:00,2025-07-04 06:36:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
