timestamp,Infrared to Red Signal Ratio
07/06/25 16:40:34,21
07/06/25 16:41:34,6
07/06/25 16:42:34,0
07/06/25 16:43:34,3
07/06/25 16:44:34,0
07/06/25 16:45:34,8
07/06/25 16:46:34,40
07/06/25 16:47:34,-15
07/06/25 16:48:34,0
07/06/25 16:49:34,8
07/06/25 16:50:34,-4
07/06/25 16:51:34,-8
07/06/25 16:52:34,3
07/06/25 16:53:34,0
07/06/25 16:54:34,3
07/06/25 16:55:34,23
07/06/25 16:56:34,65
07/06/25 16:57:34,2
07/06/25 16:58:34,50
07/06/25 16:59:34,0
07/06/25 17:00:34,8
07/06/25 17:01:34,-1
07/06/25 17:02:34,34
07/06/25 17:03:34,55
07/06/25 17:04:34,0
07/06/25 17:05:34,31
07/06/25 17:06:34,-4
07/06/25 17:07:34,52
07/06/25 17:08:34,13
07/06/25 17:09:34,55
07/06/25 17:10:34,4
07/06/25 17:11:34,18
07/06/25 17:12:34,35
07/06/25 17:13:34,50
07/06/25 17:14:34,44
07/06/25 17:15:34,0
07/06/25 17:16:34,-10
07/06/25 17:17:34,0
07/06/25 17:18:34,-8
07/06/25 17:19:34,0
07/06/25 17:20:34,32
07/06/25 17:21:34,-38
07/06/25 17:22:34,0
07/06/25 17:23:34,7
07/06/25 17:24:34,-4
07/06/25 17:25:34,0
07/06/25 17:26:34,-1
07/06/25 17:27:34,-4
07/06/25 17:28:34,11
07/06/25 17:29:34,3
07/06/25 17:30:34,-39
07/06/25 17:31:34,-1
07/06/25 17:32:34,-1
07/06/25 17:33:34,0
07/06/25 17:34:34,0
07/06/25 17:35:34,15
07/06/25 17:36:34,0
07/06/25 17:37:34,9
07/06/25 17:38:34,0
07/06/25 17:39:35,-4
07/06/25 17:40:35,-15
07/06/25 17:41:35,1
07/06/25 17:42:35,2
