timestamp,heart_rate,steps,sleep_deep_minutes,sleep_light_minutes,sleep_rem_minutes,sleep_awakenings,hrv_rmssd,hrv_coverage,primary_non_step_activity_N/A,caffeine_user_N/A,reports_high_stress_N/A,hour,hr_rolling_avg,hr_rolling_std
2025-07-07 02:32:45+00:00,186,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.38167938931298,8.005246371322292
2025-07-07 02:32:48+00:00,185,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.54961832061068,7.888856542327769
2025-07-07 02:32:50+00:00,181,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.6793893129771,7.770028388788148
2025-07-07 02:32:52+00:00,180,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.793893129771,7.661810950066847
2025-07-07 02:32:55+00:00,180,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.90076335877862,7.564954585075763
2025-07-07 02:32:56+00:00,179,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.8939393939394,7.536433213663155
2025-07-07 02:32:58+00:00,178,6,0,0,0,0,0,0,1.0,1.0,1.0,2,180.0763358778626,7.392947076156633
2025-07-07 02:32:59+00:00,177,6,0,0,0,0,0,0,1.0,1.0,1.0,2,180.0530303030303,7.369541601676589
2025-07-07 02:33:01+00:00,176,6,0,0,0,0,0,0,1.0,1.0,1.0,2,180.11363636363637,7.302250753374081
2025-07-07 02:33:03+00:00,174,6,0,0,0,0,0,0,1.0,1.0,1.0,2,180.06766917293234,7.293828325867052
2025-07-07 02:33:06+00:00,174,6,0,0,0,0,0,0,1.0,1.0,1.0,2,180.1969696969697,7.198854228102399
2025-07-07 02:33:07+00:00,172,6,0,0,0,0,0,0,1.0,1.0,1.0,2,180.13533834586465,7.206669842963834
2025-07-07 02:33:09+00:00,168,6,0,0,0,0,0,0,1.0,1.0,1.0,2,180.12781954887217,7.2188867749911045
2025-07-07 02:33:11+00:00,164,6,0,0,0,0,0,0,1.0,1.0,1.0,2,180.08270676691728,7.300939242998131
2025-07-07 02:33:13+00:00,162,6,0,0,0,0,0,0,1.0,1.0,1.0,2,180.02255639097746,7.416674666738917
2025-07-07 02:33:15+00:00,161,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.95488721804512,7.548695112651666
2025-07-07 02:33:17+00:00,160,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.87218045112783,7.7061698361033395
2025-07-07 02:33:19+00:00,160,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.72388059701493,7.866739530625124
2025-07-07 02:33:22+00:00,160,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.6417910447761,8.01446341532795
2025-07-07 02:33:23+00:00,159,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.544776119403,8.18454041648775
2025-07-07 02:33:26+00:00,159,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.4402985074627,8.35626926327596
2025-07-07 02:33:28+00:00,159,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.33582089552237,8.523249080303556
2025-07-07 02:33:30+00:00,159,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.22388059701493,8.690710441934975
2025-07-07 02:33:33+00:00,159,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.11194029850745,8.853579580871635
2025-07-07 02:33:36+00:00,159,6,0,0,0,0,0,0,1.0,1.0,1.0,2,179.0,9.012105476119553
2025-07-07 02:33:38+00:00,160,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.90298507462686,9.14615610370728
2025-07-07 02:33:41+00:00,160,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.82089552238807,9.266197560868475
2025-07-07 02:33:42+00:00,161,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.6888888888889,9.358105008662639
2025-07-07 02:33:44+00:00,162,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.6865671641791,9.450637811505084
2025-07-07 02:33:47+00:00,162,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.62686567164178,9.530853453162125
2025-07-07 02:33:49+00:00,163,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.51111111111112,9.590003086751494
2025-07-07 02:33:51+00:00,164,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.46666666666667,9.643495990837362
